Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Länge;Streckenkurzname;Bezeichnung;Bundesland;Kreis;WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
4850;Streckenachse;40,1 + 75;40,3 + 41;104010075;104030041;40,1;75;40,3;41;166;Pforzheim - Hochdorf;Bettenberg Tunnel  km 40,175...40,341;Baden-Württemberg;Landkreis Calw;LINESTRING (3480746.852045313 5384732.594165946,3480713.130891075 5384611.388790533,3480703.142777483 5384572.264106998);LINESTRING (8.737939411744529 48.59994395687054,8.737487864489466 48.59885296913394,8.737354271522594 48.59850082948318);LINESTRING (480679.1759203588 5383018.998927237,480645.4673162747 5382897.842268932,480635.48289525445 5382858.733304225)
4850;Streckenachse;53,8 + 32;55,3 + 89;105380032;105530089;53,8;32;55,3;89;1557;Pforzheim - Hochdorf;Hochdorfer Tunnel  km 53,832... 55,389;Baden-Württemberg;Landkreis Calw;LINESTRING (3477779.3441213104 5373021.587103117,3477824.72876795 5372970.706598966,3477895.700244464 5372900.107621635,3478859.2824279657 5371900.450462689);LINESTRING (8.698332320227202 48.49453287055788,8.698949080322873 48.49407692644121,8.699913057662554 48.493444560266425,8.71300072711194 48.484488200848986);LINESTRING (477712.76462511736 5371312.696826579,477758.1307378055 5371261.83631866,477829.07329990144 5371191.265025845,478792.2625942719 5370192.000188605)
4860;Streckenachse;4,4 + 85;5,0 + 64;100440085;100500064;4,4;85;5;64;579;Stuttgart - Horb;Kriegsbergtunnel  km 4,485...5,064;Baden-Württemberg;Stadtkreis Stuttgart;LINESTRING (3512806.8001699965 5405993.0884093745,3512696.5121370787 5405959.861587715,3512599.750668393 5405934.468596912,3512407.14923069 5405880.552116313,3512310.1997620696 5405855.692625333,3512249.6669013985 5405836.826134549);LINESTRING (9.173271196895051 48.79129676011705,9.171769199023847 48.7910002230218,9.170451546638716 48.79077383822218,9.16782872441522 48.7902928546273,9.166508565472643 48.790071225796325,9.165684197568305 48.78990276068775);LINESTRING (512726.4716077541 5404270.74477617,512616.22740763694 5404237.532100258,512519.5044251057 5404212.15001746,512326.97956684564 5404158.256597201,512230.0686636875 5404133.407802296,512169.55985622515 5404114.549327176)
4860;Streckenachse;8,9 + 23;9,1 + 81;100890023;100910081;8,9;23;9,1;81;258;Stuttgart - Horb;Hasenbergtunnel  km 8,923...9,181;Baden-Württemberg;Stadtkreis Stuttgart;LINESTRING (3510952.6038730075 5403175.027576954,3510958.833177677 5403148.078021251,3510963.6231756597 5403098.325037443,3510962.4216755955 5403048.366053756,3510954.774177639 5402998.978069945,3510941.2526816097 5402950.866085768,3510929.3484692597 5402922.99386644);LINESTRING (9.14796172971321 48.765990980169526,9.148045753332385 48.7657485310552,9.148109594593576 48.76530105028072,9.148091929866624 48.76485182181681,9.147986599583094 48.7644078406334,9.147801405130535 48.76397543612353,9.14763874598379 48.76372500651417);LINESTRING (510872.9946170538 5401453.825121106,510879.2212211392 5401426.886291776,510884.0089161602 5401377.15316281,510882.8075069058 5401327.214163051,510875.162681299 5401277.845985137,510861.64621597464 5401229.753342492,510849.7465455606 5401201.892359837)
4860;Streckenachse;17,6 + 2;17,8 + 2;101760002;101780002;17,6;2;17,8;2;200;Stuttgart - Horb;Berghautunnel  km 17,617...17,817;Baden-Württemberg;Stadtkreis Stuttgart;LINESTRING (3507994.3059357135 5397100.248145139,3507823.4751162753 5396996.108636224);LINESTRING (9.107603796000305 48.711408668006264,9.105280571582389 48.71047434308776);LINESTRING (507915.8321025168 5395381.497565488,507745.0687721866 5395277.401022884)
4860;Richtungsgleis;63,2 + 79;63,5 + 88;106320079;106350088;63,2;79;63,5;88;309;Stuttgart - Horb;Mühlener Tunnel  km 63,280...63,589;Baden-Württemberg;Landkreis Freudenstadt;LINESTRING (3480253.950500706 5368507.532153622,3480236.8469589967 5368472.638054896,3480216.0174656324 5368438.969065996,3480191.9409733377 5368407.540076375,3480167.6929811253 5368381.427085021,3480138.130990647 5368355.091593765,3480109.400999922 5368334.009600785,3480075.410010918 5368313.710107579,3480040.2459558635 5368297.174851767);LINESTRING (8.732027525482525 48.45402205097178,8.731797952110448 48.45370771740605,8.731517952195492 48.4534042829564,8.731193953223805 48.453120889059,8.730867386688578 48.452885294387784,8.73046899468033 48.452647529598075,8.730081603577336 48.45245703333981,8.72962305596337 48.452273405480085,8.729148473288175 48.452123589391555);LINESTRING (480186.3471193975 5366800.427827257,480169.25014924875 5366765.547811403,480148.42872651655 5366731.892444004,480124.36162019026 5366700.476205062,480100.12312315335 5366674.373840132,480070.5727507842 5366648.0491048815,480041.85408567975 5366626.975760977,480007.8765317201 5366606.684644178,479972.726409495 5366590.156268632)
4861;Streckenachse;-0,0 + -8;2,6 + 20;99999992;100260020;0;-8;2,6;20;2628;Stuttgart - Filderstadt;S-Bahn-Tunnel (Los 4) Hst Stg Hbf  km -0,008...0,068;Baden-Württemberg;Stadtkreis Stuttgart;LINESTRING (3513375.9604700482 5405214.694730665,3513318.994426166 5405122.976354924,3513114.28698971 5404779.364968979,3513035.908014078 5404651.463511455,3513008.571522603 5404609.61052537,3512979.5750316805 5404568.878038934,3512949.020041277 5404529.312052133,3512882.9210621375 5404454.294577233,3512819.2125822 5404377.249102968,3512696.87762063 5404219.04315574,3512668.293129572 5404177.961169411,3512638.4316389402 5404137.926682759,3512604.774649576 5404100.949695141,3512567.84516131 5404067.349206445,3512527.3366742525 5404038.156216349,3512484.1846880945 5404012.894724995,3512438.9537026524 5403991.693232333,3512115.4863069276 5403857.909278992,3512023.8578364453 5403817.895292896,3511839.530395901 5403745.333818277,3511799.970408655 5403729.062823952,3511712.283936975 5403698.589334704,3511486.9110096693 5403609.855365731,3511445.791713701 5403594.385464906);LINESTRING (9.18099207073371 48.78428528198526,9.180213939753159 48.78346173668892,9.177417492388297 48.78037619695462,9.176346986646292 48.77922770313343,9.175973720975955 48.77885191625895,9.175577909819864 48.778486238491325,9.175160935883117 48.77813108114618,9.174259254085014 48.77745786353907,9.173390057978295 48.77676635333662,9.171720753342715 48.775346206346725,9.171330595266546 48.774977362501126,9.17092310116661 48.774617962569245,9.170464068157141 48.77428613170332,9.169960621565842 48.773984727345166,9.169408622580711 48.77372302615614,9.168820783594407 48.773496728429755,9.16820478759322 48.773306977919475,9.163800173591987 48.77211028954459,9.162552455901313 48.771752235508025,9.160042723827102 48.77110324839323,9.159504078671752 48.770957680310524,9.158310316911738 48.77068529746202,9.155241865153055 48.76989154275352,9.154682056351492 48.769753184377436);LINESTRING (513295.39828322304 5403492.65786851,513238.45429794316 5403400.976608301,513033.82601991645 5403057.504202975,512955.47738141683 5402929.654494798,512928.15149225056 5402887.818455744,512899.1662760523 5402847.102481299,512868.6231925684 5402807.5525522595,512802.5500539879 5402732.565586754,512738.86644309666 5402655.5514140455,512616.5791558319 5402497.409675472,512588.0057721325 5402456.344337622,512558.15590758173 5402416.326090597,512524.51208559296 5402379.364149771,512487.597099392 5402345.777383411,512447.1045796697 5402316.596381366,512403.9696483909 5402291.34532679,512358.7565806887 5402270.152663853,512035.4174620994 5402136.424723827,511943.8253121166 5402096.427450968,511759.5709988102 5402023.89642582,511720.02670054144 5402007.632245555,511632.3750478007 5401977.171624204,511407.0915313866 5401888.474890695,511365.9885540521 5401873.011495743)
4861;Streckenachse;2,6 + 20;5,0 + 0;100260020;100500000;2,6;20;5;0;2380;;;Baden-Württemberg;Stadtkreis Stuttgart;LINESTRING (3511445.791713701 5403594.385464906,3511353.7595526604 5403562.200382506,3511272.924578796 5403537.190891409,3511162.924114309 5403497.452905382,3511089.8671378493 5403466.0504163,3510951.8101822557 5403398.247439685,3510899.3091991097 5403368.790949779,3510290.4158944124 5403008.928572737,3509710.6900803577 5402664.628690313,3509555.134130244 5402571.258722176,3509462.0636600456 5402510.196742937,3509391.7846825714 5402466.484257829,3509366.2668689354 5402448.967729316);LINESTRING (9.154682056351492 48.769753184377436,9.153429184514456 48.76946543896411,9.152328845081465 48.7692420040632,9.150831361989551 48.76888663490547,9.149836683885344 48.76860554943482,9.147956831202608 48.767998268130626,9.147241866834234 48.767734299814734,9.13894998298694 48.76450857463938,9.131056247711943 48.76142174327843,9.128938289097213 48.76058451303404,9.127671011286928 48.76003683056212,9.126714142321985 48.759644806757066,9.126366676349914 48.75948767273045);LINESTRING (511365.9885540521 5401873.011495743,511273.9929359858 5401840.83999934,511193.19008448 5401815.8411379475,511083.23328769486 5401776.119897778,511010.2052741318 5401744.7305337265,510872.20298422175 5401676.955742569,510819.7227609836 5401647.5114392955,510211.0700826691 5401287.797688952,509631.57335591107 5400943.639982184,509476.0788684697 5400850.308557196,509383.04513143655 5400789.271716823,509312.7939104383 5400745.577256332,509287.28616217483 5400728.067930059)
4861;Streckenachse;2,6 + 21;5,0 + 0;100260021;100500000;2,6;21;5;0;2379;;;Baden-Württemberg;Stadtkreis Stuttgart;LINESTRING (3511444.8518522 5403594.031870228,3511353.7595526604 5403562.200382506,3511272.924578796 5403537.190891409,3511162.924114309 5403497.452905382,3511089.8671378493 5403466.0504163,3510951.8101822557 5403398.247439685,3510899.3091991097 5403368.790949779,3510290.4158944124 5403008.928572737,3509710.6900803577 5402664.628690313,3509555.134130244 5402571.258722176,3509462.0636600456 5402510.196742937,3509391.7846825714 5402466.484257829,3509366.2668689354 5402448.967729316);LINESTRING (9.15466926086819 48.76975002189574,9.153429184514456 48.76946543896411,9.152328845081465 48.7692420040632,9.150831361989551 48.76888663490547,9.149836683885344 48.76860554943482,9.147956831202608 48.767998268130626,9.147241866834234 48.767734299814734,9.13894998298694 48.76450857463938,9.131056247711943 48.76142174327843,9.128938289097213 48.76058451303404,9.127671011286928 48.76003683056212,9.126714142321985 48.759644806757066,9.126366676349914 48.75948767273045);LINESTRING (511365.0490655447 5401872.65804977,511273.9929359858 5401840.83999934,511193.19008448 5401815.8411379475,511083.23328769486 5401776.119897778,511010.2052741318 5401744.7305337265,510872.20298422175 5401676.955742569,510819.7227609836 5401647.5114392955,510211.0700826691 5401287.797688952,509631.57335591107 5400943.639982184,509476.0788684697 5400850.308557196,509383.04513143655 5400789.271716823,509312.7939104383 5400745.577256332,509287.28616217483 5400728.067930059)
4861;Streckenachse;5,0 + 0;7,3 + 51;100500000;100730051;5;0;7,3;51;2351;;;Baden-Württemberg;Stadtkreis Stuttgart;LINESTRING (3509366.2668689354 5402448.967729316,3508032.8136185114 5401658.721533456,3507991.229631826 5401631.008542863,3507951.8571443916 5401600.183053264,3507915.3806559844 5401566.092564711,3507882.610666336 5401528.34457731,3507853.85817535 5401487.456590902,3507829.2456829916 5401443.959105308,3507809.202689123 5401398.178120421,3507793.718193753 5401350.655136059,3507783.164696764 5401301.800152088,3507777.610198138 5401252.153168336,3507776.789197966 5401202.1601846535,3507780.6886962554 5401152.36720086,3507795.386690592 5401053.384233024,3507805.4536868786 5401004.423248906,3507818.879621182 5400955.246827827);LINESTRING (9.126366676349914 48.75948767273045,9.108215001505833 48.7523999381185,9.107648961236942 48.75215126180731,9.107112941297986 48.75187456589557,9.106616247663778 48.751568470840084,9.106169894919459 48.75122943746734,9.105778121909063 48.750862116039144,9.105442603919771 48.750471276050256,9.105169186804828 48.75005984417713,9.104957729942232 48.74963269038,9.104813304993376 48.74919349727242,9.104736845081701 48.74874712016161,9.104724746486635 48.74829757307758,9.104776840926117 48.747849766054756,9.104974848863794 48.746959488781584,9.105110818391768 48.746519086712,9.105292454547245 48.74607670540207);LINESTRING (509287.28616217483 5400728.067930059,507954.3598618359 5399938.148074323,507912.7922843376 5399910.446487629,507873.43529771845 5399879.633629131,507836.9731269111 5399845.557054522,507804.21594456077 5399807.824414533,507775.4746302665 5399766.952999676,507750.871639149 5399723.473096721,507730.8363018992 5399677.710571874,507715.3576271395 5399630.206708549,507704.8079690195 5399581.371339782,507699.25530453894 5399531.744248977,507698.4342434046 5399481.771259732,507702.33179507067 5399431.998153676,507717.02314269077 5399333.054646536,507727.0857331141 5399284.113159518,507740.50591699686 5399234.956295532)
