Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Länge;Streckenkurzname;Bezeichnung;Kreuzungsart;Bundesland;Kreis;WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
6074;Streckenachse;1,0 + 28,921;1,0 + 37,420;100100028,921;100100037,42;1;28,921;1;37,42;8;Biesdf Kr Nord - Biesdf Kr Ost;Kbw Bkso-Bksw (Bw 1);EÜ über Rad-/Fußweg;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3808231.6515069096 5829909.001921506,3808238.256654335 5829903.669758676));MULTILINESTRING ((13.540523248337195 52.51499138184935,13.54061530322949 52.514939885321006));MULTILINESTRING ((808037.0166298982 5828014.699204713,808043.6190881606 5828009.369105433))
6074;Streckenachse;1,6 + 41,321;1,6 + 54,067;100160041,321;100160054,067;1,6;41,321;1,6;54,067;8;Biesdf Kr Nord - Biesdf Kr Ost;Krbw Bks-Bso (Bw16);EÜ über DBAG-Gleise;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3808820.8463093657 5829769.709069724,3808826.9209468043 5829768.890083182,3808830.447445656 5829768.415083119,3808833.474323244 5829768.104480852));MULTILINESTRING ((13.549045740372051 52.51341057145416,13.549134176664326 52.51339979842406,13.549185516824133 52.5133935483299,13.549229673322388 52.51338905355945));MULTILINESTRING ((808625.9748652311 5827875.456157045,808632.0470697191 5827874.637437624,808635.5721561789 5827874.162592455,808638.5978224336 5827873.852084374))
6076;Streckenachse;1,2 + 51,501;1,2 + 71,460;100120051,501;100120071,46;1,2;51,501;1,2;71,46;26;Biesdorfer Kr Süd - Südost;EÜ - Weissenhoeher Weg;EÜ über andere Straße/Weg KFZ-Verkehr;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3808932.274601678 5829121.723026125,3808935.4808753454 5829126.689780753,3808942.292815104 5829139.011828426));MULTILINESTRING ((13.55008095873723 52.50754277007491,13.550132636252705 52.507585448985,13.550244069942257 52.507691977651504));MULTILINESTRING ((808737.3522932753 5827227.727692,808740.557335979 5827232.692432329,808747.3666779108 5827245.009493964))
6076;Streckenachse;1,4 + 50,692;1,4 + 92,900;100140050,692;100140092,9;1,4;50,692;1,4;92,9;45;Biesdorfer Kr Süd - Südost;EÜ B1 (Bw20);EÜ über andere Straße/Weg KFZ-Verkehr;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3809001.2455653087 5829307.517813105,3809001.259364846 5829307.5907192,3809003.9668653635 5829331.532711417,3809005.6456543286 5829349.562347374));MULTILINESTRING ((13.551265856548136 52.509168119559206,13.551266126770383 52.50916876485254,13.55132808415738 52.5093817082776,13.551369454826235 52.509542270151044));MULTILINESTRING ((808806.2975552268 5827413.447630514,808806.3113499741 5827413.520507368,808809.0180055838 5827437.452915277,808810.6963020382 5827455.475337267))
6078;Streckenachse;2,4 + 12,000;2,5 + 89,000;100240012;100250089;2,4;12;2,5;89;177;Bln Wriezener Bf - Küstrin-K.;KRBW Ostkreuz S-B;EÜ über DBAG-Gleise;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3803592.068853959 5828280.040077589,3803634.6180097647 5828262.286377413,3803670.6394976466 5828250.362879029,3803717.204482221 5828239.147379784,3803761.794609154 5828233.152582147));MULTILINESTRING ((13.470905959664996 52.502997399266114,13.47151446447423 52.502814688081635,13.472032442123746 52.50268783684313,13.472705852921752 52.502561463407005,13.473355024721032 52.502482957406066));MULTILINESTRING ((803399.2699553072 5826386.433254897,803441.8019522009 5826368.68622384,803477.8089441257 5826356.767131342,803524.3552310241 5826345.555651789,803568.9274998938 5826339.56280919))
6078;Streckenachse;2,4 + 22,000;2,5 + 78,000;100240022;100250078;2,4;22;2,5;78;156;Bln Wriezener Bf - Küstrin-K.;EÜ Bahnsteig S-B;EÜ über DBAG-Gleise;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3803601.2943701087 5828276.190716902,3803634.6180097647 5828262.286377413,3803670.6394976466 5828250.362879029,3803717.204482221 5828239.147379784,3803750.8966328395 5828234.61773076));MULTILINESTRING ((13.471037896237087 52.50295778404868,13.47151446447423 52.502814688081635,13.472032442123746 52.50268783684313,13.472705852921752 52.502561463407005,13.473196365193163 52.502502144860294));MULTILINESTRING ((803408.4917510594 5826382.585340208,803441.8019522009 5826368.68622384,803477.8089441257 5826356.767131342,803524.3552310241 5826345.555651789,803558.0338881498 5826341.027479987))
6078;Streckenachse;2,7 + 29,000;2,7 + 29,000;100270029;100270029;2,7;29;2,7;29;24;Bln Wriezener Bf - Küstrin-K.;E EÜ Karlshorster Str;EÜ über andere Straße/Weg KFZ-Verkehr;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3803901.5730864555 5828227.603823293,3803901.5740857255 5828227.603796187));MULTILINESTRING ((13.47540206915565 52.50235548717622,13.475402083801285 52.50235548637736));MULTILINESTRING ((803708.6501269224 5826334.014892219,803708.651125794 5826334.014865111))
6078;Streckenachse;3,1 + 21,944;3,1 + 36,996;100310021,944;100310036,996;3,1;21,944;3,1;36,996;21;Bln Wriezener Bf - Küstrin-K.;EÜ Stadthausstraße;EÜ über andere Straße/Weg KFZ-Verkehr;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3804286.2636694196 5828287.975430455,3804300.3011097885 5828293.392922937));MULTILINESTRING ((13.481104819761619 52.50268217172675,13.481315850635509 52.50272288617871));MULTILINESTRING ((804093.1877451757 5826394.358620182,804107.2196354275 5826399.773812128))
6078;Richtungsgleis;3,3 + 49,000;3,3 + 49,000;100330049;100330049;3,3;49;3,3;49;15;Bln Wriezener Bf - Küstrin-K.;EÜ PT Nöldnerplatz;EÜ über Rad-/Fußweg;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3804487.645914145 5828390.762600354,3804487.6467220974 5828390.763191318));MULTILINESTRING ((13.48415522383392 52.5034908055612,13.484155236235619 52.50349081040519));MULTILINESTRING ((804294.4906139541 5826497.102779626,804294.4914215899 5826497.103370346))
6078;Streckenachse;10,7 + 60,182;10,7 + 65,238;101070060,182;101070065,238;10,7;60,182;10,7;65,238;17;Bln Wriezener Bf - Küstrin-K.;EÜ PT Bf Kaulsdorf;EÜ über Wege/Räume Reisende-Bstg.Zug.;Berlin;Kreisfreie Stadt Berlin;MULTILINESTRING ((3811421.4608455445 5829790.151816891,3811426.5250385166 5829790.291389708));MULTILINESTRING ((13.587248774826094 52.51211639214748,13.587323258174573 52.512114753630755));MULTILINESTRING ((811225.5514767035 5827895.865122857,811230.6136494833 5827896.004590041))
