Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Länge;Streckenkurzname;Bezeichnung;Kreuzungsart;Bundesland;Kreis;WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
1000;Streckenachse;172,9 + 77,580;172,9 + 88,481;117290077,58;117290088,481;172,9;77,58;172,9;88,481;14;Flensburg-Weiche - Flensb. Gr;EÜ L 17 Ochsenweg;EÜ über Landstraße I. Ordnung/Staatstraße;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3525730.518001017 6070019.358404365,3525737.4986647908 6070027.830834424));MULTILINESTRING ((9.398633125775962 54.75886609583754,9.398742307933079 54.75894184588182));MULTILINESTRING ((525650.7124965418 6068032.122492564,525657.6904643271 6068040.591490184))
1002;Streckenachse;173,9 + 41,818;173,9 + 56,457;117390041,818;117390056,457;173,9;41,818;173,9;56,457;47;Flensburg Weiche - DB-Grenze;KRBW ü. Str 1040;EÜ über DBAG-Gleise;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3526504.934251767 6070601.880171793,3526507.455570957 6070604.839283755,3526513.1670697113 6070611.598281536,3526514.3891097773 6070613.057160913));MULTILINESTRING ((9.410715362717255 54.76405859569345,9.410754801726243 54.76408504420383,9.410844147483422 54.76414545851309,9.410863265219266 54.76415849905089));MULTILINESTRING ((526424.8263466919 6068614.405528563,526427.3466912075 6068617.363440917,526433.0559825666 6068624.1196990805,526434.2775504533 6068625.57798723))
1005;Streckenachse;2,8 + 59,342;2,9 + 24,563;100280059,342;100290024,563;2,8;59,342;2,9;24,563;66,7;Flensburg - Abzw Friedensweg;EÜ B 200;EÜ über Bundesstraße;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3527586.829307977 6070593.951899726,3527523.186772825 6070608.236489098));MULTILINESTRING ((9.42752188602711 54.76392909191838,9.426534554546102 54.764060902832185));MULTILINESTRING ((527506.291306887 6068606.470360315,527442.6742005885 6068620.749862959))
1005;Streckenachse;3,5 + 9,697;3,5 + 29,464;100350009,697;100350029,464;3,5;9,697;3,5;29,464;22;Flensburg - Abzw Friedensweg;EÜ K 126 (Husumer Straße);EÜ über Landstraße II. Ordnung/Kreisstraße;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3526946.867372931 6070684.210983476,3526946.682451328 6070684.186737588,3526945.6909516007 6070684.056737679,3526944.699951873 6070683.92573777,3526943.708452146 6070683.79423786,3526942.7169524184 6070683.662737953,3526941.725952691 6070683.530238044,3526940.7349529634 6070683.3977381345,3526939.743453236 6070683.264738222,3526938.752453508 6070683.131238317,3526937.7614537803 6070682.997738404,3526936.770454053 6070682.863238501,3526935.7794543253 6070682.729238588,3526934.788954597 6070682.594238679,3526933.7979548695 6070682.459238773,3526932.806955142 6070682.323738865,3526931.8164554145 6070682.188238955,3526930.8254556865 6070682.052739051,3526929.834955958 6070681.916239144,3526928.8444562308 6070681.780239234,3526927.853456503 6070681.643739325,3526927.276933952 6070681.563998232));MULTILINESTRING ((9.417588457313634 54.76477464403659,9.417585582246566 54.76477443616259,9.417570166913427 54.76477332159704,9.417554759255973 54.76477219801976,9.417539343785304 54.76477106997583,9.417523928315475 54.76476994192998,9.41750852052136 54.76476880487237,9.417493112728101 54.76476766781275,9.417477697121639 54.764766526286515,9.417462289237294 54.764765380240085,9.417446881353818 54.764764234191624,9.417431473378429 54.76476307915832,9.417416065450288 54.76476192861444,9.417400665197889 54.764760769058846,9.41738525717871 54.76475960952815,9.417369849114026 54.76475844550399,9.417354448817875 54.76475728145104,9.417339040754928 54.76475611742301,9.417323640367755 54.764754944383185,9.417308240027852 54.76475377583288,9.417292831874786 54.76475260281595,9.417283868019913 54.764751917428136));MULTILINESTRING ((526866.5845769603 6068696.6995114405,526866.3997286329 6068696.675276909,526865.4086217905 6068696.54533788,526864.4180147402 6068696.414399244,526863.4269078836 6068696.282960812,526862.4358010275 6068696.15152238,526861.4451939629 6068696.019084341,526860.4545868979 6068695.8866463,526859.4634800276 6068695.753708464,526858.4728729537 6068695.620270824,526857.4822658799 6068695.486833181,526856.4916587964 6068695.352395941,526855.5010517181 6068695.218458495,526854.510944431 6068695.083521445,526853.5203373431 6068694.948584401,526852.5297302505 6068694.813147555,526851.5396229593 6068694.677710704,526850.5490158667 6068694.54227386,526849.5589085656 6068694.405837407,526848.5688012696 6068694.269900755,526847.5781941675 6068694.133464306,526847.0019000267 6068694.053760259))
1011;Streckenachse;4,6 + 49,993;4,6 + 66,935;100460049,993;100460066,935;4,6;49,993;4,6;66,935;17;Jübek - Husum;EÜ Treene;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Schleswig-Flensburg;MULTILINESTRING ((3521868.2274962245 6047408.619169673,3521851.9880116177 6047403.790925317));MULTILINESTRING ((9.336947077041376 54.55593209171675,9.336695720910052 54.555889419672674));MULTILINESTRING ((521789.74821746204 6045430.407440678,521773.51514458196 6045425.581265575))
1011;Streckenachse;8,3 + 2,502;8,3 + 4,221;100830002,502;100830004,221;8,3;2,502;8,3;4,221;3;Jübek - Husum;EÜ Grumsholmerbek;EÜ über Graben/Flutöffn. zeitw. Wasser;Schleswig-Holstein;Kreis Nordfriesland;MULTILINESTRING ((3518790.2796436953 6045512.739267781,3518788.910046555 6045511.700432139));MULTILINESTRING ((9.289253048074192 54.53902433532685,9.289231821923181 54.539015053878074));MULTILINESTRING ((518713.0065914521 6043535.309636815,518711.63752926013 6043534.271226791))
1011;Streckenachse;24,9 + 68,780;24,9 + 75,009;102490068,78;102490075,009;24,9;68,78;24,9;75,009;5;Jübek - Husum;EÜ Mühlenau;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Nordfriesland;MULTILINESTRING ((3504794.706721178 6038498.54348792,3504791.481026785 6038494.443492995,3504790.856441758 6038493.647223092));MULTILINESTRING ((9.072908947676595 54.47633824999454,9.07285912058451 54.47630144781728,9.07284947263141 54.47629430035737));MULTILINESTRING ((504722.93358117546 6036524.030762341,504719.7091318101 6036519.932426921,504719.08478783385 6036519.136479297))
1020;Streckenachse;3,6 + 71,675;3,7 + 33,621;100360071,675;100370033,621;3,6;71,675;3,7;33,621;71;Kiel-Hassee C. - Flensburg;EÜ BAB A215;EÜ über Autobahn;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3571363.8104860396 6021100.331976724,3571352.87460008 6021126.4809791045,3571339.7949267933 6021157.432026901));MULTILINESTRING ((10.095528550782497 54.315072541718806,10.095366790234579 54.31530894537711,10.095173239575027 54.31558878123099));MULTILINESTRING ((571265.4035603174 6019132.122632305,571254.4722696315 6019158.261335162,571241.3980894026 6019189.200193285))
1020;Streckenachse;6,4 + 73,014;6,4 + 93,411;100640073,014;100640093,411;6,4;73,014;6,4;93,411;19;Kiel-Hassee C. - Flensburg;EÜ Eichkoppelweg;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3570558.949380372 6023674.817825801,3570565.866272991 6023694.005843378));MULTILINESTRING ((10.083772105467734 54.33830898788749,10.083882970164147 54.33848038263657));MULTILINESTRING ((570460.886749491 6021705.591916451,570467.8010706936 6021724.77223645))
1020;Streckenachse;6,9 + 12,147;6,9 + 26,160;100690012,147;100690026,16;6,9;12,147;6,9;26,16;4;Kiel-Hassee C. - Flensburg;EÜ Rad u. Fussweg;EÜ über Rad-/Fußweg;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3570707.8757996797 6024087.918464259,3570712.628289464 6024101.10069904));MULTILINESTRING ((10.08615931192605 54.34199893540126,10.086235498643013 54.342116682482086));MULTILINESTRING ((570609.7578041869 6022118.526833036,570614.5085272039 6022131.703779558))
1020;Streckenachse;8,5 + 63,989;8,6 + 56,032;100850063,989;100860056,032;8,5;63,989;8,6;56,032;93;Kiel-Hassee C. - Flensburg;EÜ Steenbeker Weg;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3571146.174004069 6025663.826945264,3571140.237409003 6025699.366171794,3571129.590914723 6025748.211158293,3571128.0189740337 6025754.0151372105));MULTILINESTRING ((10.093273487184113 54.35609310831405,10.093190679234937 54.35641315549795,10.093038615699623 54.356853373956454,10.093015827282212 54.35690572545484));MULTILINESTRING ((571047.8964520433 6023693.804335103,571041.9625518501 6023729.3294806015,571031.3207507383 6023778.1551375305,571029.7494897768 6023783.9568225015))
1020;Streckenachse;9,2 + 60,720;9,2 + 69,369;100920060,72;100920069,369;9,2;60,72;9,2;69,369;11;Kiel-Hassee C. - Flensburg;EÜ Stadtparkweg;EÜ über andere Straße/Weg Fahrverkehr;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3570818.2906814516 6026262.5152318105,3570811.7094645016 6026268.126140645));MULTILINESTRING ((10.088373533788515 54.36151625935373,10.088273646467995 54.36156757135694));MULTILINESTRING ((570720.1491674101 6024292.257554023,570713.5706208659 6024297.86629273))
1020;Streckenachse;10,2 + 53,771;10,4 + 35,564;101020053,771;101040035,564;10,2;53,771;10,4;35,564;195;Kiel-Hassee C. - Flensburg;KBR ü. Nord-Ostsee-Kanal;EÜ über künstliche Wasserstraße (Kanal);Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3570052.5518172886 6026883.40756212,3569965.2288181866 6027000.705860588,3569944.390310764 6027029.504088135));MULTILINESTRING ((10.07674223644364 54.367198999268965,10.075426554479522 54.36826458614922,10.075112763405357 54.36852611677183));MULTILINESTRING ((569954.720708715 6024912.910094764,569867.4335434036 6025030.162554663,569846.6035948078 6025058.949522635))
1020;Streckenachse;11,4 + 0,763;11,4 + 13,425;101140000,763;101140013,425;11,4;0,763;11,4;13,425;14;Kiel-Hassee C. - Flensburg;EÜ Eckernförder Straße;EÜ über Bundesstraße;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3569066.386525009 6027163.5780524155,3569054.0826739823 6027160.591579797));MULTILINESTRING ((10.061637453298696 54.3698500963753,10.061447482862896 54.3698249378458));MULTILINESTRING ((568968.9502968595 6025192.97839196,568956.6513117241 6025189.993222649))
1020;Streckenachse;11,4 + 19,586;11,4 + 28,347;101140019,586;101140028,347;11,4;19,586;11,4;28,347;6;Kiel-Hassee C. - Flensburg;EÜ Rad- und Fußweg;EÜ über Rad-/Fußweg;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3569048.0959399617 6027159.138439865,3569039.582747825 6027157.0720612025));MULTILINESTRING ((10.061355048270537 54.36981269625087,10.061223605503182 54.369795288465255));MULTILINESTRING ((568950.6669453196 6025188.540716872,568942.1571199547 6025186.475239984))
1020;Streckenachse;12,6 + 68,279;12,6 + 83,397;101260068,279;101260083,397;12,6;68,279;12,6;83,397;5,2;Kiel-Hassee C. - Flensburg;EÜ Fahrenhorster Weg;EÜ über andere Straße/Weg Fahrverkehr;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3567834.6641244753 6026864.984653066,3567819.8898242107 6026861.784350573));MULTILINESTRING ((10.042620982269659 54.36733341942608,10.04239298369256 54.367306638780654));MULTILINESTRING ((567737.7150178608 6024894.515310515,567722.9465641092 6024891.316419458))
1020;Streckenachse;12,7 + 44,076;12,7 + 46,079;101270044,076;101270046,079;12,7;44,076;12,7;46,079;5;Kiel-Hassee C. - Flensburg;EÜ Felmer Au;EÜ über Graben/Flutöffn. zeitw. Wasser;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3567760.205671272 6026850.937283276,3567758.230698931 6026850.604220466));MULTILINESTRING ((10.041472408172277 54.36721714257795,10.041441951917749 54.367214413373404));MULTILINESTRING ((567663.2860489987 6024880.4742261,567661.3118590857 6024880.14131428))
1020;Streckenachse;18,0 + 53,062;18,0 + 55,070;101800053,062;101800055,07;18;53,062;18;55,07;3;Kiel-Hassee C. - Flensburg;EÜ Rad- u. Fußweg Gettorf;EÜ über Rad-/Fußweg;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3564258.025974811 6030650.950019922,3564256.854814178 6030652.581952987));MULTILINESTRING ((9.988419728611461 54.40180388565644,9.988402050523408 54.40181869213608));MULTILINESTRING ((564162.534909727 6028679.008302941,564161.3642301799 6028680.639597886))
1020;Streckenachse;28,0 + 81,916;28,0 + 85,913;102800081,916;102800085,913;28;81,916;28;85,913;7,1;Kiel-Hassee C. - Flensburg;EÜ Goosbek;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3556069.048305802 6035632.938898138,3556065.476996777 6035634.736866922));MULTILINESTRING ((9.863280868102539 54.447523193368674,9.863226161678114 54.44753973783805));MULTILINESTRING ((555976.8606565214 6033659.092323843,555973.2907845569 6033660.889610928))
1020;Streckenachse;30,8 + 21,226;30,8 + 24,818;103080021,226;103080024,818;30,8;21,226;30,8;24,818;5;Kiel-Hassee C. - Flensburg;EÜ Rad- u. Fußweg;EÜ über Rad-/Fußweg;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3554345.520961561 6037644.892822157,3554343.2893321677 6037647.709046973));MULTILINESTRING ((9.837084306086933 54.465783171802116,9.83705041036468 54.46580870782447));MULTILINESTRING ((554254.0375168341 6035670.262198231,554251.8068012011 6035673.0773239015))
1020;Streckenachse;31,5 + 27,417;31,5 + 32,810;103150027,417;103150032,81;31,5;27,417;31,5;32,81;7;Kiel-Hassee C. - Flensburg;EÜ Noorgraben;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3553994.6043126355 6038256.431441863,3553992.180428555 6038261.25110313));MULTILINESTRING ((9.831784589527684 54.47131385936934,9.831748086614786 54.471357410586904));MULTILINESTRING ((553903.2661282674 6036281.560893198,553900.8432530991 6036286.378660387))
1020;Streckenachse;31,7 + 17,080;31,7 + 31,501;103170017,08;103170031,501;31,7;17,08;31,7;31,501;14;Kiel-Hassee C. - Flensburg;EÜ Noorstraße;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3553912.5044524735 6038427.44709734,3553906.100219354 6038440.373555886));MULTILINESTRING ((9.830549565243272 54.4728587622288,9.830453147369713 54.47297555644794));MULTILINESTRING ((553821.200513667 6036452.509304827,553814.7989480209 6036465.430682513))
1020;Streckenachse;32,0 + 95,361;32,1 + 6,834;103200095,361;103210006,834;32;95,361;32,1;6,834;5;Kiel-Hassee C. - Flensburg;EÜ Pferdemarkt;EÜ über Rad-/Fußweg;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3553703.0489213252 6038739.958306845,3553697.8256238066 6038745.2433685325,3553694.7862995863 6038747.914478978));MULTILINESTRING ((9.827375832326975 54.47568814848803,9.827296226270128 54.475736174980405,9.827249831742744 54.475760490155345));MULTILINESTRING ((553611.8311946313 6036764.898189296,553606.6100236026 6036770.181197971,553603.5719329675 6036772.851274537))
1020;Streckenachse;35,2 + 30,674;35,2 + 36,898;103520030,674;103520036,898;35,2;30,674;35,2;36,898;3,5;Kiel-Hassee C. - Flensburg;EÜ Kollholmer Au;EÜ über Graben/Flutöffn. zeitw. Wasser;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3552819.1694645444 6041613.0573769985,3552818.273530725 6041619.21870669));MULTILINESTRING ((9.814256199313684 54.50158905412169,9.814243473741282 54.501644492670856));MULTILINESTRING ((552728.3300522403 6039636.86295139,552727.4345322353 6039643.021839284))
1020;Streckenachse;44,4 + 29,427;44,5 + 58,283;104440029,427;104450058,283;44,4;29,427;44,5;58,283;128;Kiel-Hassee C. - Flensburg;EÜ mit Klappbrücke;EÜ über natürlich schiffbaren Fluß;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3553138.834639716 6050665.556219343,3553074.6954447934 6050777.315646208));MULTILINESTRING ((9.820823492609565 54.58287072335566,9.819851788018134 54.58388134182529));MULTILINESTRING ((553047.9527563896 6048685.759090237,552983.840110292 6048797.47467868))
1020;Streckenachse;45,2 + 27,893;45,2 + 48,904;104520027,893;104520048,904;45,2;27,893;45,2;48,904;21;Kiel-Hassee C. - Flensburg;EÜ Lindauer Noor;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Schleswig-Flensburg;MULTILINESTRING ((3552660.227123129 6051295.635167801,3552659.425102083 6051296.22683908,3552658.620602345 6051296.820838956,3552657.815602607 6051297.414338831,3552657.0111028687 6051298.007838702,3552656.2066031303 6051298.601838581,3552655.401603393 6051299.195338452,3552643.3188484902 6051308.10817918));MULTILINESTRING ((9.813534901723564 54.58858049784286,9.813522603001603 54.58858589607581,9.813510266356138 54.588591315482354,9.813497921884247 54.588596730448415,9.813485585142553 54.588602145361136,9.81347324848725 54.58860756476393,9.813460904005538 54.588612979726214,9.813275618234856 54.588694297721));MULTILINESTRING ((552569.5414381961 6049315.59198177,552568.7397415803 6049316.183425293,552567.9355672806 6049316.777196508,552567.1308931749 6049317.370467927,552566.32671887 6049317.963739338,552565.5225445697 6049318.557510557,552564.7178704643 6049319.150781972,552552.6400032267 6049328.060191813))
1020;Streckenachse;52,8 + 93,875;52,8 + 96,647;105280093,875;105280096,647;52,8;93,875;52,8;96,647;5;Kiel-Hassee C. - Flensburg;EÜ Oxbek;EÜ über Graben/Flutöffn. zeitw. Wasser;Schleswig-Holstein;Kreis Schleswig-Flensburg;MULTILINESTRING ((3548917.848672885 6057829.629155662,3548916.4454460363 6057832.019921441));MULTILINESTRING ((9.75674143099055 54.64764889031558,9.756720095232735 54.64767050165204));MULTILINESTRING ((548828.7120801434 6055847.023031175,548827.3094335533 6055849.412859544))
1020;Streckenachse;77,6 + 3,628;77,6 + 5,654;107760003,628;107760005,654;77,6;3,628;77,6;5,654;3;Kiel-Hassee C. - Flensburg;EÜ Die Adelbybek;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3530714.950664918 6072093.0030889595,3530713.4971213373 6072091.591590998));MULTILINESTRING ((9.476275538086481 54.77721327690274,9.476252800661756 54.777200686551446));MULTILINESTRING ((530633.1832599064 6070104.896612958,530631.730280933 6070103.485689573))
1020;Streckenachse;78,1 + 18,951;78,1 + 28,422;107810018,951;107810028,422;78,1;18,951;78,1;28,422;11;Kiel-Hassee C. - Flensburg;EÜ Ringstraße;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3530345.2347525177 6071733.981684429,3530338.4398308736 6071727.383314625));MULTILINESTRING ((9.470492617894998 54.77401072043977,9.470386343514415 54.773951858796096));MULTILINESTRING ((530263.6109586853 6069746.021354762,530256.8186764483 6069739.425670942))
1020;Streckenachse;78,4 + 19,053;78,4 + 28,449;107840019,053;107840028,449;78,4;19,053;78,4;28,449;11;Kiel-Hassee C. - Flensburg;EÜ Kattloch;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3530129.9280715836 6071524.903025901,3530123.186958316 6071518.356907999));MULTILINESTRING ((9.46712531414611 54.772145560353124,9.467019891038321 54.772087161865784));MULTILINESTRING ((530048.3879112772 6069537.027805318,530041.6494165272 6069530.484352122))
1020;Streckenachse;78,6 + 44,000;78,6 + 44,000;107860044;107860044;78,6;44;78,6;44;24;Kiel-Hassee C. - Flensburg;Eü über K8;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3529965.849568912 6071371.133791421,3529965.8487855075 6071371.133169822));MULTILINESTRING ((9.464559979288094 54.77077408915168,9.464559967051756 54.77077408361469));MULTILINESTRING ((529884.3731951184 6069383.321218422,529884.3724120195 6069383.320597077))
1020;Streckenachse;78,9 + 3,894;78,9 + 48,527;107890003,894;107890048,527;78,9;3,894;78,9;48,527;42;Kiel-Hassee C. - Flensburg;EÜ Straße;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3529740.1514370106 6071244.562973123,3529738.426193802 6071243.933428113,3529733.170195184 6071242.057428931,3529727.900696572 6071240.217929736,3529722.619197964 6071238.414930532,3529717.325199363 6071236.648931319,3529712.018700767 6071234.920432097,3529706.7002021763 6071233.228432862,3529701.370203591 6071231.573433619,3529697.7989828186 6071230.489450694));MULTILINESTRING ((9.461040220011641 54.76965053835326,9.46101335024079 54.76964498541986,9.460931495119828 54.76962844484496,9.460849434052811 54.76961223289015,9.460767190343585 54.769596349466205,9.46068475627304 54.76958079909384,9.460602131890525 54.76956558626412,9.46051932486038 54.76955070196411,9.46043634300047 54.769536150655384,9.46038074584034 54.76952662462798));MULTILINESTRING ((529658.7635951337 6069256.802809646,529657.0390318097 6069256.173530919,529651.7851048675 6069254.298326303,529646.5176836369 6069252.459607294,529641.2382675201 6069250.657373881,529635.9463567216 6069248.8921258645,529630.6419512463 6069247.164363052,529625.3255508852 6069245.473085828,529619.9976554449 6069243.818793997,529616.4278440592 6069242.735275152))
1020;Streckenachse;80,5 + 62,961;80,5 + 67,212;108050062,961;108050067,212;80,5;62,961;80,5;67,212;7;Kiel-Hassee C. - Flensburg;EÜ Gepäcktunnel Bf Fle.;EÜ über Wege/Räume für Gepäck, Post...;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3528222.437369467 6071713.11346461,3528218.67146689 6071715.086004456));MULTILINESTRING ((9.437504845104781 54.77394712263051,9.437446519330114 54.773965053577605));MULTILINESTRING ((528141.6571322122 6069725.181170319,528137.8927447983 6069727.15296112))
1020;Streckenachse;80,6 + 39,933;80,6 + 45,236;108060039,933;108060045,236;80,6;39,933;80,6;45,236;8;Kiel-Hassee C. - Flensburg;EÜ Bstg-Tunnel;EÜ über Wege/Räume Reisende-Bstg.Zug.;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3528154.248930701 6071748.829845972,3528149.551075756 6071751.290532593));MULTILINESTRING ((9.436448744055957 54.77427179033831,9.436375983157285 54.774294158041336));MULTILINESTRING ((528073.4961281928 6069760.883988839,528068.800163369 6069763.343741045))
1022;Streckenachse;1,1 + 2,695;1,1 + 26,553;100110002,695;100110026,553;1,1;2,695;1,1;26,553;27;Kiel - Osterrönfeld;EÜ L 194 Lübecker Chaussee;EÜ über Landstraße I. Ordnung/Staatstraße;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3573322.3492417787 6020237.586158143,3573300.03048981 6020233.100131791,3573299.0396807985 6020232.976260709));MULTILINESTRING ((10.125405559404566 54.30704589130176,10.125061646265518 54.30700879913711,10.125046397215144 54.30700782863305));MULTILINESTRING ((573223.1551399751 6018269.701649931,573200.845224164 6018265.217617525,573199.8548081275 6018265.093805011))
1022;Streckenachse;5,7 + 3,534;5,9 + 8,188;100570003,534;100590008,188;5,7;3,534;5,9;8,188;207;Kiel - Osterrönfeld;EÜ BAB A 215;EÜ über Autobahn;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3569367.9862232073 6020451.087933888,3569320.810649596 6020445.736285035,3569295.909656662 6020443.567786997,3569283.455660205 6020442.653787933,3569271.0016637538 6020441.853788833,3569163.79355794 6020443.9940711595));MULTILINESTRING ((10.064715682395562 54.30951573991455,10.063989772762945 54.30947407217614,10.063606763909009 54.30945797173497,10.063415245306876 54.30945145077237,10.063223753194093 54.30944595348989,10.061577417725937 54.30947970140842));MULTILINESTRING ((569270.3671212906 6018483.15555724,569223.2102632149 6018477.806479022,569198.3191551693 6018475.639076784,569185.8701041432 6018474.725557925,569173.4210541897 6018473.925993682,569066.2556139769 6018476.066428479))
1022;Streckenachse;13,5 + 39,330;13,5 + 80,499;101350039,33;101350080,499;13,5;39,33;13,5;80,499;18;Kiel - Osterrönfeld;EÜ Eider;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3562073.955042757 6020391.201913249,3562064.567237838 6020389.171189886,3562033.4273725245 6020383.993992593));MULTILINESTRING ((9.952655751437637 54.30991605212672,9.952511116243164 54.30989895142562,9.952031677893014 54.30985622855479));MULTILINESTRING ((561979.2367664617 6018423.361547203,561969.8526767526 6018421.331719236,561938.7251495407 6018416.156871952))
1022;Streckenachse;27,9 + 24,761;27,9 + 27,267;102790024,761;102790027,267;27,9;24,761;27,9;27,267;3;Kiel - Osterrönfeld;EÜ Fußweg;EÜ über Rad-/Fußweg;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3548492.522779445 6018510.205088516,3548492.0070152613 6018507.752537432));MULTILINESTRING ((9.74370587971806 54.294488564891054,9.743697561394983 54.29446658220446));MULTILINESTRING ((548403.1891103474 6016543.239252849,548402.6735285711 6016540.787682073))
1022;Streckenachse;29,0 + 98,260;29,1 + 2,678;102900098,26;102910002,678;29;98,26;29,1;2,678;6;Kiel - Osterrönfeld;EÜ Linnbek;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3548268.907954809 6017358.141933954,3548268.0644534677 6017353.804851259));MULTILINESTRING ((9.740085908426721 54.284160565135075,9.740072258335866 54.2841216840251));MULTILINESTRING ((548179.6525501364 6015391.636417877,548178.8093441075 6015387.301068133))
1022;Streckenachse;29,8 + 93,044;29,9 + 0,100;102980093,044;102990000,1;29,8;93,044;29,9;0,1;14;Kiel - Osterrönfeld;EÜ K 30;EÜ über Landstraße II. Ordnung/Kreisstraße;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3547866.9910672833 6016754.032643612,3547862.518131151 6016753.446983897,3547859.980152611 6016753.252402026));MULTILINESTRING ((9.733818608583634 54.27877152489059,9.733749850613556 54.27876668244313,9.733710858843732 54.2787651720019));MULTILINESTRING ((547777.8899282797 6014787.771144957,547773.4187658412 6014787.185759633,547770.881794985 6014786.991278671))
1023;Streckenachse;1,9 + 57,330;1,9 + 63,020;100190057,33;100190063,02;1,9;57,33;1,9;63,02;9;Kiel - Neustadt(Holst);EÜ Weg;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3574107.018545641 6019346.515657528,3574110.1429924304 6019341.760920396));MULTILINESTRING ((10.137236980213162 54.298929007415296,10.13728378291733 54.29888584683165));MULTILINESTRING ((574007.503945498 6017378.978264417,574010.6271047737 6017374.225389462))
1023;Streckenachse;6,1 + 82,460;6,1 + 87,863;100610082,46;100610087,863;6,1;82,46;6,1;87,863;3;Kiel - Neustadt(Holst);EÜ Ziegeleiweg;EÜ über andere Straße/Weg Fahrverkehr;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3577870.6558080767 6017835.445255278,3577875.962845434 6017834.443642107));MULTILINESTRING ((10.194639858794977 54.28479717309308,10.194721067408752 54.284787368597755));MULTILINESTRING ((577769.6298220915 6015868.473660266,577774.9347388261 6015867.472395705))
