Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Streckenkurzname;Bezeichnung;Straßenart;Technische Sicherung;Bundesland;Kreis;GK Rechtswert (EPSG 31467);GK Hochwert (EPSG 31467);Geographische Länge (EPSG 4326);Geographische Breite (EPSG 4326);UTM Rechtswert (EPSG 25832);UTM Hochwert (EPSG 25832);WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
1000;Streckenachse;173,1 + 7,395;173,1 + 13,910;117310007,395;117310013,91;173,1;7,395;173,1;13,91;Flensburg-Weiche - Flensb. Gr;km 173,113;sonstige Straßen und Wege mit Fahrverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreisfreie Stadt Flensburg;3525800,878;6070132,635;9,3997066862;54,7598839426;525721,045;6068145,354;POINT (3525800.877668001 6070132.6352652125);POINT (9.399736092819557 54.75988005087843);POINT (525721.0452488458 6068145.353674683)
1000;Streckenachse;177,3 + 56,106;177,3 + 63,983;117730056,106;117730063,983;177,3;56,106;177,3;63,983;Flensburg-Weiche - Flensb. Gr;km 177,360;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3524170,292;6073979,366;9,3746977629;54,7945200285;524091,144;6071990,57;POINT (3524170.2921723444 6073979.365623637);POINT (9.37472788536585 54.794516362886874);POINT (524091.1435483949 6071990.570191632)
1000;Streckenachse;178,4 + 29,317;178,4 + 40,082;117840029,317;117840040,082;178,4;29,317;178,4;40,082;Flensburg-Weiche - Flensb. Gr;km 178,436;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523831,964;6074999,457;9,3695215738;54,8036996216;523752,96;6073010,259;POINT (3523831.9642421105 6074999.456708719);POINT (9.369551901901465 54.80369600360198);POINT (523752.9595540329 6073010.258970617)
1000;Streckenachse;179,1 + 11,404;179,1 + 15,029;117910011,404;117910015,029;179,1;11,404;179,1;15,029;Flensburg-Weiche - Flensb. Gr;km 179,113;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523618,266;6075643,495;9,366250904;54,8094950775;523539,352;6073654,043;POINT (3523618.2658002647 6075643.495031018);POINT (9.366281367201863 54.80949148890795);POINT (523539.3520233394 6073654.04329921)
1000;Streckenachse;179,5 + 49,898;179,5 + 55,530;117950049,898;117950055,53;179,5;49,898;179,5;55,53;Flensburg-Weiche - Flensb. Gr;km 179,552;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523479,811;6076060,648;9,3641313403;54,8132488303;523400,956;6074071,032;POINT (3523479.8112835023 6076060.647931126);POINT (9.364161890645816 54.81324526085654);POINT (523400.956406277 6074071.031685489)
1011;Streckenachse;1,1 + 83,738;1,1 + 87,952;100110083,738;100110087,952;1,1;83,738;1,1;87,952;Jübek - Husum;Km 1,182;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Schleswig-Flensburg;3525190,409;6048389,277;9,3883533296;54,5645911493;525110,618;6046410,645;POINT (3525190.409214267 6048389.277131606);POINT (9.388378471702422 54.56458711371673);POINT (525110.6181994075 6046410.644870948)
1011;Streckenachse;1,9 + 30,335;1,9 + 38,280;100190030,335;100190038,28;1,9;30,335;1,9;38,28;Jübek - Husum;Km 1,933;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Schleswig-Flensburg;3524471,37;6048182,333;9,377220387;54,5627673311;524391,863;6046203,79;POINT (3524471.370069908 6048182.33323317);POINT (9.37724547738046 54.562763377231036);POINT (524391.8630100574 6046203.789886135)
1011;Streckenachse;2,4 + 70,447;2,4 + 74,597;100240070,447;100240074,597;2,4;70,447;2,4;74,597;Jübek - Husum;Km 2,471;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523955,466;6048028,975;9,3692328084;54,5614143024;523876,162;6046050,497;POINT (3523955.4656067844 6048028.974550832);POINT (9.369257860978703 54.56141040684084);POINT (523876.16223742184 6046050.496936362)
1011;Streckenachse;4,1 + 15,983;4,1 + 26,798;100410015,983;100410026,798;4,1;15,983;4,1;26,798;Jübek - Husum;Km 4,118;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3522374,921;6047559,23;9,3447650457;54,5572666407;522296,242;6045580,954;POINT (3522374.9210682735 6047559.230022917);POINT (9.34478998337333 54.55726292278537);POINT (522296.24173484714 6045580.953744382)
1011;Streckenachse;4,4 + 21,871;4,4 + 35,581;100440021,871;100440035,581;4,4;21,871;4,4;35,581;Jübek - Husum;Km 4,428;Landesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3522080,32;6047471,675;9,3402049974;54,5564930146;522001,757;6045493,436;POINT (3522080.3201940516 6047471.674851896);POINT (9.340229913768649 54.55648932965743);POINT (522001.7571761473 6045493.436098744)
1011;Streckenachse;5,0 + 98,858;5,1 + 6,593;100500098,858;100510006,593;5;98,858;5,1;6,593;Jübek - Husum;Km 5,104;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3521434,268;6047279,597;9,3302055233;54,5547952228;521355,96;6045301,44;POINT (3521434.2679130114 6047279.596596022);POINT (9.330230394242871 54.55479161008298);POINT (521355.9599716621 6045301.440162112)
1011;Streckenachse;6,1 + 67,963;6,1 + 69,971;100610067,963;100610069,971;6,1;67,963;6,1;69,971;Jübek - Husum;km 6,169;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Schleswig-Flensburg;3520490,626;6046801,465;9,3155877775;54,5505389898;520412,689;6044823,508;POINT (3520490.626375078 6046801.465428518);POINT (9.315612547547323 54.55053548207439);POINT (520412.68918660755 6044823.507780099)
1011;Streckenachse;8,2 + 56,495;8,2 + 59,426;100820056,495;100820059,426;8,2;56,495;8,2;59,426;Jübek - Husum;Km 8,256;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Nordfriesland;3518825,763;6045539,662;9,2897784773;54,5392682045;518748,477;6043562,222;POINT (3518825.7634793906 6045539.662354841);POINT (9.289802983957944 54.53926487803357);POINT (518748.4765676601 6043562.22169344)
1011;Streckenachse;9,3 + 24,699;9,3 + 24,699;100930024,699;100930024,699;9,3;24,699;9,3;24,699;Jübek - Husum;Km 9,328;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3517975,895;6044894,945;9,2766089619;54,5335072342;517898,94;6042917,768;POINT (3517975.8953676964 6044894.944642526);POINT (9.276633334469942 54.53350400002376);POINT (517898.9404055396 6042917.7681227615)
1011;Streckenachse;10,6 + 6,998;10,6 + 10,790;101060006,998;101060010,79;10,6;6,998;10,6;10,79;Jübek - Husum;Km 10,611;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Nordfriesland;3517062,08;6044002,539;9,2624411539;54,5255218826;516985,48;6042025,726;POINT (3517062.079938856 6044002.539446054);POINT (9.262465341824438 54.52551874584001);POINT (516985.480078088 6042025.726127783)
1011;Streckenachse;12,1 + 28,752;12,1 + 46,512;101210028,752;101210046,512;12,1;28,752;12,1;46,512;Jübek - Husum;Km 12,140;Bundesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3516148,637;6042776,704;9,2482664112;54,514539475;516072,389;6040800,386;POINT (3516148.6369173317 6042776.703685146);POINT (9.24829034692323 54.51453643272661);POINT (516072.38895561395 6040800.3861282775)
1011;Streckenachse;13,3 + 50,076;13,3 + 54,471;101330050,076;101330054,471;13,3;50,076;13,3;54,471;Jübek - Husum;Km 13,344;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Nordfriesland;3515424,695;6041807,48;9,2370378647;54,505854946;515348,726;6039831,555;POINT (3515424.6954738777 6041807.480452164);POINT (9.237061601474927 54.50585197865828);POINT (515348.7264358162 6039831.554890141)
1011;Streckenachse;14,3 + 42,297;14,3 + 59,288;101430042,297;101430059,288;14,3;42,297;14,3;59,288;Jübek - Husum;km 14,348;Landesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3514551,524;6041403,845;9,2235386855;54,5022546222;514475,899;6039428,088;POINT (3514551.5242770966 6041403.8450555075);POINT (9.22356233887683 54.50225175128935);POINT (514475.898686798 6039428.087984049)
1011;Streckenachse;15,0 + 80,234;15,0 + 83,059;101500080,234;101500083,059;15;80,234;15;83,059;Jübek - Husum;km 15,081;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Nordfriesland;3513825,57;6041319,417;9,212329012;54,5015164126;513750,233;6039343,7;POINT (3513825.5703006503 6041319.416629862);POINT (9.212352647271581 54.5015136238804);POINT (513750.23255648086 6039343.699782641)
1011;Streckenachse;15,8 + 14,183;15,8 + 17,384;101580014,183;101580017,384;15,8;14,183;15,8;17,384;Jübek - Husum;Km 15,814;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3513096,6;6041232,428;9,2010730685;54,5007542443;513021,551;6039256,753;POINT (3513096.5999758523 6041232.428314283);POINT (9.201096685202742 54.500751537847016);POINT (513021.55125302996 6039256.7527341945)
1011;Streckenachse;16,6 + 13,766;16,6 + 16,757;101660013,766;101660016,757;16,6;13,766;16,6;16,757;Jübek - Husum;Km 16,615;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Nordfriesland;3512390,986;6040893,554;9,1901675115;54,497727629;512316,215;6038918,02;POINT (3512390.986304431 6040893.5538968695);POINT (9.190191058055886 54.49772500017727);POINT (512316.21500898525 6038918.019513606)
1011;Streckenachse;17,4 + 68,790;17,4 + 71,651;101740068,79;101740071,651;17,4;68,79;17,4;71,651;Jübek - Husum;Km 17,470;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Nordfriesland;3511835,576;6040247,685;9,181569394;54,4919386498;511761,02;6038272,412;POINT (3511835.5759313554 6040247.684627507);POINT (9.181592804267515 54.49193608032962);POINT (511761.01953668497 6038272.412120101)
1011;Streckenachse;20,4 + 43,177;20,4 + 49,687;102040043,177;102040049,687;20,4;43,177;20,4;49,687;Jübek - Husum;Km 20,446;Landesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3509168,814;6038963,71;9,1403761304;54,4804589676;509095,307;6036988,972;POINT (3509168.814435128 6038963.709919818);POINT (9.14039924670644 54.480456710692565);POINT (509095.3065271389 6036988.972304821)
1011;Streckenachse;21,8 + 1,461;21,8 + 5,175;102180001,461;102180005,175;21,8;1,461;21,8;5,175;Jübek - Husum;Km 21,800;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Nordfriesland;3507857,168;6038659,049;9,1201323408;54,4777439245;507784,179;6036684,444;POINT (3507857.1682237764 6038659.048873732);POINT (9.120155376619786 54.47774182735626);POINT (507784.17900683946 6036684.444375605)
1011;Streckenachse;23,1 + 83,288;23,1 + 93,419;102310083,288;102310093,419;23,1;83,288;23,1;93,419;Jübek - Husum;Km 23,192;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3506490,159;6038762,563;9,0990461312;54,4786930853;506417,714;6036787,93;POINT (3506490.158940054 6038762.563033161);POINT (9.099069169752307 54.4786911562364);POINT (506417.7141517658 6036787.929864701)
1011;Streckenachse;24,6 + 97,062;24,7 + 2,115;102460097,062;102470002,115;24,6;97,062;24,7;2,115;Jübek - Husum;Km 24,700;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3505004,945;6038659,027;9,0761318558;54,4777796812;504933,089;6036684,449;POINT (3505004.9445259105 6038659.027115378);POINT (9.076154853463425 54.477777933031);POINT (504933.0892664405 6036684.448666591)
1011;Streckenachse;25,0 + 36,865;25,0 + 43,103;102500036,865;102500043,103;25;36,865;25;43,103;Jübek - Husum;Km 25,040;Landesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Nordfriesland;3504750,561;6038442,679;9,0722040977;54,4758385204;504678,805;6036468,189;POINT (3504750.561373702 6038442.679018779);POINT (9.072227049105885 54.47583680206863);POINT (504678.80527481873 6036468.18890655)
1020;Streckenachse;4,2 + 40,916;4,2 + 64,361;100420040,916;100420064,361;4,2;40,916;4,2;64,361;Kiel-Hassee C. - Flensburg;km 4,250;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreisfreie Stadt Kiel;3571111,713;6021623,364;10,09176104;54,319814688;571013,411;6019654,949;POINT (3571111.7129736934 6021623.363555198);POINT (10.091780129659053 54.319805684905866);POINT (571013.4112315895 6019654.948513411)
1020;Streckenachse;5,6 + 89,730;5,7 + 2,772;100560089,73;100570002,772;5,6;89,73;5,7;2,772;Kiel-Hassee C. - Flensburg;km 5,700;Landesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3570502,722;6022932,204;10,0827129199;54,3316553839;570404,675;6020963,274;POINT (3570502.721912155 6022932.204373435);POINT (10.082732272015448 54.33164643472752);POINT (570404.6746841745 6020963.274393599)
1020;Streckenachse;7,8 + 95,480;7,9 + 37,529;100780095,48;100790037,529;7,8;95,48;7,9;37,529;Kiel-Hassee C. - Flensburg;km 7,910;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreisfreie Stadt Kiel;3571052,67;6025031,096;10,0916649357;54,3504318577;570954,423;6023061,326;POINT (3571052.6695645866 6025031.09606401);POINT (10.091684663179375 54.35042284329384);POINT (570954.42326838 6023061.326018773)
1020;Streckenachse;13,6 + 12,020;13,6 + 12,020;101360012,02;101360012,02;13,6;12,02;13,6;12,02;Kiel-Hassee C. - Flensburg;13.615;sonstige Straßen und Wege mit Fahrverkehr;mechanische Vollschranke, keine Anrufschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3566994,734;6027167,822;10,029748403;54,3701732835;566898,121;6025197,24;POINT (3566994.733635601 6027167.822007247);POINT (10.02976864866827 54.37016466132218);POINT (566898.1214495767 6025197.240077359)
1020;Streckenachse;14,4 + 21,905;14,4 + 24,329;101440021,905;101440024,329;14,4;21,905;14,4;24,329;Kiel-Hassee C. - Flensburg;km 14,421;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3566416,057;6027735,961;10,0209727605;54,3753521715;566319,68;6025765,159;POINT (3566416.056828593 6027735.961336379);POINT (10.020993128947703 54.37534360383859);POINT (566319.6801323063 6025765.1588441515)
1020;Streckenachse;15,5 + 8,568;15,5 + 16,366;101550008,568;101550016,366;15,5;8,568;15,5;16,366;Kiel-Hassee C. - Flensburg;km 15,511;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3565740,01;6028586,685;10,0107589977;54,3830812634;565643,91;6026615,55;POINT (3565740.0100032254 6028586.684947941);POINT (10.01077954424731 54.383072758622475);POINT (565643.9101687743 6026615.550407633)
1020;Streckenachse;16,1 + 90,760;16,1 + 93,268;101610090,76;101610093,268;16,1;90,76;16,1;93,268;Kiel-Hassee C. - Flensburg;km 16,190;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3565343,595;6029138,621;10,0047798027;54,3880899082;565247,658;6027167,27;POINT (3565343.594575993 6029138.620589289);POINT (10.0048004635834 54.38808144009692);POINT (565247.6575810335 6027167.270228394)
1020;Streckenachse;16,4 + 100,048;16,4 + 102,914;101640100,048;101640102,914;16,4;100,048;16,4;102,914;Kiel-Hassee C. - Flensburg;km 16,497;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3565163,098;6029390,039;10,0020568861;54,3903713485;565067,235;6027418,591;POINT (3565163.0978781837 6029390.039415799);POINT (10.00207759906842 54.39036289709465);POINT (565067.2350281517 6027418.590743675)
1020;Streckenachse;17,1 + 40,826;17,1 + 40,826;101710040,826;101710040,826;17,1;40,826;17,1;40,826;Kiel-Hassee C. - Flensburg;km 17,147;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3564790,065;6029909,547;9,9964284563;54,3950853143;564694,356;6027937,895;POINT (3564790.0652482505 6029909.54722196);POINT (9.99644927605305 54.39507689957384);POINT (564694.3556316112 6027937.895410645)
1020;Streckenachse;18,6 + 29,228;18,6 + 48,253;101860029,228;101860048,253;18,6;29,228;18,6;48,253;Kiel-Hassee C. - Flensburg;km 18,640;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3563915,244;6031126,08;9,9832234533;54,406123163;563819,894;6029153,953;POINT (3563915.2441669856 6031126.080060752);POINT (9.983244524446336 54.406114844098404);POINT (563819.8938848127 6029153.9525755225)
1020;Streckenachse;19,2 + 44,303;19,2 + 55,055;101920044,303;101920055,055;19,2;44,303;19,2;55,055;Kiel-Hassee C. - Flensburg;km 19,250;Landesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3563556,254;6031620,643;9,9778016209;54,4106104357;563461,051;6029648,322;POINT (3563556.2535733804 6031620.642539849);POINT (9.977822795139776 54.410602156624975);POINT (563461.0507014984 6029648.32171037)
1020;Streckenachse;20,0 + 29,722;20,0 + 34,314;102000029,722;102000034,314;20;29,722;20;34,314;Kiel-Hassee C. - Flensburg;km 20,040;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3563025,424;6032188,271;9,9697476184;54,4157750694;562930,438;6030215,73;POINT (3563025.424161368 6032188.2711731745);POINT (9.969768914300523 54.41576684932221);POINT (562930.4377261313 6030215.729548912)
1020;Streckenachse;20,7 + 9,414;20,7 + 14,799;102070009,414;102070014,799;20,7;9,414;20,7;14,799;Kiel-Hassee C. - Flensburg;km 20,710;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3562500,457;6032620,991;9,9617535005;54,4197266397;562405,684;6030648,282;POINT (3562500.4571383423 6032620.991006637);POINT (9.961774892560102 54.41971847804636);POINT (562405.6835426289 6030648.282191324)
1020;Streckenachse;21,0 + 10,565;21,0 + 14,651;102100010,565;102100014,651;21;10,565;21;14,651;Kiel-Hassee C. - Flensburg;km 21,019;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3562268,534;6032812,236;9,958221332;54,4214728946;562173,854;6030839,453;POINT (3562268.533765234 6032812.235580783);POINT (9.958242766614234 54.421464758754745);POINT (562173.8541991672 6030839.452873172)
1020;Streckenachse;22,4 + 18,144;22,4 + 25,346;102240018,144;102240025,346;22,4;18,144;22,4;25,346;Kiel-Hassee C. - Flensburg;Km 22,425;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3561180,95;6033709,001;9,9416535292;54,4296599024;561086,712;6031735,872;POINT (3561180.9504330847 6033709.000930594);POINT (9.941675163954926 54.42965188734958);POINT (561086.7118041838 6031735.871736723)
1020;Streckenachse;24,7 + 18,303;24,7 + 25,633;102470018,303;102470025,633;24,7;18,303;24,7;25,633;Kiel-Hassee C. - Flensburg;km 24,722;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3559189,491;6034558,715;9,9111411812;54,4375279325;559096,052;6032585,266;POINT (3559189.490574848 6034558.7149571115);POINT (9.91116303259263 54.43752013862682);POINT (559096.0519056439 6032585.266446912)
1020;Streckenachse;25,2 + 29,811;25,2 + 35,193;102520029,811;102520035,193;25,2;29,811;25,2;35,193;Kiel-Hassee C. - Flensburg;km 25,232;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3558683,758;6034570,522;9,9033503288;54,437692554;558590,521;6032597,074;POINT (3558683.7581137414 6034570.522119708);POINT (9.903372196059351 54.437684816292446);POINT (558590.5206841613 6032597.073642382)
1020;Streckenachse;26,3 + 34,040;26,3 + 39,786;102630034,04;102630039,786;26,3;34,04;26,3;39,786;Kiel-Hassee C. - Flensburg;km 26,337;sonstige Straßen und Wege mit Fahrverkehr;Lichtzeichenanlage;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3557626,396;6034890,695;9,8871187609;54,4406893592;557533,582;6032917,129;POINT (3557626.3964141766 6034890.695187765);POINT (9.88714071862418 54.440681738515345);POINT (557533.5824863971 6032917.129257727)
1020;Streckenachse;26,9 + 51,634;26,9 + 56,426;102690051,634;102690056,426;26,9;51,634;26,9;56,426;Kiel-Hassee C. - Flensburg;km 26,953;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3557035,732;6035070,164;9,8780505381;54,4423680003;556943,154;6033096,532;POINT (3557035.7316368306 6035070.163872251);POINT (9.8780725465721 54.44236044485755);POINT (556943.154289656 6033096.5320854755)
1020;Streckenachse;27,4 + 2,082;27,4 + 5,951;102740002,082;102740005,951;27,4;2,082;27,4;5,951;Kiel-Hassee C. - Flensburg;km 27,404;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3556622,073;6035242,034;9,8717081806;54,4439580384;556529,661;6033268,337;POINT (3556622.0726328557 6035242.033540469);POINT (9.871730233706462 54.44395052850889);POINT (556529.661400145 6033268.337264744)
1020;Streckenachse;27,9 + 29,004;27,9 + 34,905;102790029,004;102790034,905;27,9;29,004;27,9;34,905;Kiel-Hassee C. - Flensburg;km 27,931;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3556198,32;6035557,112;9,8652369;54,4468352528;556106,08;6033583,294;POINT (3556198.320148943 6035557.11187659);POINT (9.86525902601689 54.4468277894627);POINT (556106.0803815007 6033583.294251418)
1020;Streckenachse;28,3 + 47,818;28,3 + 49,735;102830047,818;102830049,735;28,3;47,818;28,3;49,735;Kiel-Hassee C. - Flensburg;km 28,348;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3555823,281;6035736,81;9,8594901034;54,4484907056;555731,192;6033762,924;POINT (3555823.2805624683 6035736.809984374);POINT (9.859512274669749 54.448483283537755);POINT (555731.191622084 6033762.924395812)
1020;Streckenachse;29,0 + 75,741;29,0 + 89,478;102900075,741;102900089,478;29;75,741;29;89,478;Kiel-Hassee C. - Flensburg;km 29,085;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3555279,933;6036181,723;9,8511978827;54,4525465418;555188,064;6034207,666;POINT (3555279.932676179 6036181.723050934);POINT (9.851220155765754 54.452539179360045);POINT (555188.0639722885 6034207.6655949075)
1020;Streckenachse;29,8 + 77,256;29,9 + 31,331;102980077,256;102990031,331;29,8;77,256;29,9;31,331;Kiel-Hassee C. - Flensburg;km 29,904;Bundesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3554831,745;6036868,846;9,844415941;54,4587672551;554740,061;6034894,519;POINT (3554831.7453784007 6036868.845915322);POINT (9.84443836087913 54.458759941632884);POINT (554740.0613267713 6034894.519378574)
1020;Streckenachse;30,7 + 18,627;30,7 + 62,065;103070018,627;103070062,065;30,7;18,627;30,7;62,065;Kiel-Hassee C. - Flensburg;km 30,742;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3554395,778;6037581,487;9,837825074;54,4652155072;554304,274;6035606,882;POINT (3554395.7783065266 6037581.487405978);POINT (9.837847645735225 54.46520824138316);POINT (554304.2742836452 6035606.881528454)
1020;Streckenachse;31,3 + 92,319;31,4 + 4,270;103130092,319;103140004,27;31,3;92,319;31,4;4,27;Kiel-Hassee C. - Flensburg;km 31,398;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3554052,716;6038141,066;9,8326370555;54,4702786181;553961,354;6036166,241;POINT (3554052.716208395 6038141.066436111);POINT (9.832659746760838 54.47027138973176);POINT (553961.3538373647 6036166.241223914)
1020;Streckenachse;35,4 + 53,233;35,4 + 66,119;103540053,233;103540066,119;35,4;53,233;35,4;66,119;Kiel-Hassee C. - Flensburg;km 35,459;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Blinklicht-Anlage;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;3552809,833;6041841,615;9,8141295266;54,5036501834;552718,999;6039865,33;POINT (3552809.832983162 6041841.614955874);POINT (9.814152988383656 54.50364308584009);POINT (552718.9994181589 6039865.329727464)
